group,var,modelType,R2_mean,RMSE_mean,MAE_mean
group2,pH,GPyModel,0.7254720312982504,-0.2551712117404277,-0.05609707306699528
group2,U_aq,linear,0.9998657565795996,-1.6825842201805243e-05,-9.587054410747624e-06
group2,U_s,GPyModel,0.881176106454421,-8.634177934597761e-06,-1.2606939485299484e-06
group2,U_sc,GPyModel,0.32398829593737677,-6.570448386617626e-06,-1.5860592488096607e-06
group2,U_ex,GPyModel,0.9996830271723292,-5.081625304900012e-07,-8.844022786453727e-08
group2,Kd_sc,GPyModel,-10.38896019197114,-1807.8346107912353,-445.98583874382075
group2,Kd_ex,GPyModel,0.48518021850282456,-9.33091865818782,-3.8969492900944465
group2,metaschoepite,CONST,0.0,0.0,0.0
group4,pH,GPyModel,0.988905166817597,-0.03920355991718622,-0.012001425314750843
group4,U_aq,linear,0.9999994332811519,-8.802154803347382e-07,-8.391021782279514e-07
group4,U_s,GPyModel,0.782308170966272,-4.622883859085174e-07,-2.1153629180849643e-07
group4,U_sc,GPyModel,0.7993662493455994,-4.1119731304896557e-07,-2.492829518261479e-07
group4,U_ex,GPyModel,-608205363.7378747,-1.5053588325187374e-13,-7.96232361079796e-15
group4,Kd_sc,GPyModel,0.4933753045942101,-5515.166977043814,-3207.687374584751
group4,Kd_ex,GPyModel,-1373575502887.5383,-0.0032368035075791687,-0.0004092840591160508
group4,metaschoepite,CONST,0.0,0.0,0.0
group3,pH,GPyModel,0.907994410689968,-0.07892644067282198,-0.11525569378522285
group3,U_aq,linear,0.9990408957975649,-4.286990451467309e-05,-3.844710363717299e-05
group3,U_s,GPyModel,0.9999643515948055,-7.166744635009653e-06,-3.5400738070279514e-06
group3,U_sc,GPyModel,-50.56087952213366,-6.813180213980602e-07,-4.391070278495063e-07
group3,U_ex,GPyModel,-1594021.6366601815,-1.8907684328134231e-13,-1.2040525344089858e-13
group3,Kd_sc,GPyModel,-803.4994794505586,-95.04021441202863,-53.89151725965445
group3,Kd_ex,GPyModel,-12719086728.131292,-1.5994822255242813e-05,-1.0156046244159444e-05
group3,metaschoepite,GPyModel,0.9997711822491807,-2.3671150108127765e-05,-1.099967633876729e-05
group1,pH,GPyModel,-10.510313522639265,-0.05747826143287458,-0.06590139082475722
group1,U_aq,linear,0.946344166893111,-8.613967567262264e-05,-7.759788504454973e-05
group1,U_s,GPyModel,0.9992611239865479,-0.0006548931903940102,-0.0008587827045095815
group1,U_sc,GPyModel,0.8348988102120245,-8.923278128628752e-07,-4.7445448891790837e-07
group1,U_ex,GPyModel,-23.701061681542114,-2.5751225911919026e-07,-1.0761697026091352e-07
group1,Kd_sc,GPyModel,-18.316884695394535,-16.98522266731944,-17.795404601014333
group1,Kd_ex,linear,0.6619059656464245,-0.02239551795512647,-0.020264180533606305
group1,metaschoepite,GPyModel,0.7653795248560804,-0.0006430274817464596,-0.0005403672897851681
